data,temperatura_media,precipitacao_total_mm,vento_velocidade_media_ms,vento_velocidade_max_ms,vento_rajada_max_ms,vento_direcao_media_circular_gr,vento_dir_sin,vento_dir_cos,n_registros
2019-01-31,24.854166666666668,0.0,2.829166666666667,4.3,9.9,103.99194763205661,0.9703297164772597,-0.24178552752627827,24
2019-02-01,24.6125,0.0,2.1708333333333334,4.1,9.0,105.31198989349234,0.9645021784414101,-0.2640748904795273,24
2019-02-02,25.445833333333336,0.0,1.9708333333333332,3.0,8.1,99.61455269741772,0.9859536472581861,-0.16701917691774323,24
2019-02-03,25.662499999999998,0.0,2.2333333333333334,3.8,8.4,145.48091457614524,0.5666807248019673,-0.8239374710121619,24
2019-02-04,23.075,8.0,2.3958333333333335,3.8,11.2,223.7313728615063,-0.6912781751808562,-0.7225887381620513,24
2019-02-05,21.2375,0.8,2.1333333333333333,5.3,9.4,112.29969625562109,0.9252117299987067,-0.3794512546728502,24
2019-02-06,20.8875,14.4,1.5833333333333333,3.4,11.1,17.723311259999075,0.30442063392431123,0.9525377040522441,24
2019-02-07,21.23333333333333,4.6000000000000005,1.3666666666666665,3.5,6.7,60.7415922383744,0.8724242958721036,0.488749269024583,24
2019-02-08,21.45,10.799999999999999,1.4333333333333333,4.0,8.2,24.896838068391578,0.42098575648902276,0.9070672482420281,24
2019-02-09,21.775000000000002,11.799999999999999,1.8624999999999998,7.1,12.1,102.23644581521157,0.9772812729610447,-0.2119464873963235,24
2019-02-10,20.974999999999998,18.0,1.8333333333333333,4.2,8.1,7.8193345039129705,0.1360498933051146,0.9907019867405471,24
2019-02-11,22.254166666666666,19.2,1.7833333333333332,3.9,8.2,54.5983976017585,0.8151115945806786,0.5793039688972822,24
2019-02-12,23.229166666666668,0.2,1.3583333333333334,2.9,6.9,133.33542937093532,0.727348536474977,-0.6862682467429985,24
2019-02-13,23.45,0.0,1.3916666666666666,2.2,5.6,174.02062741399723,0.10417041241781519,-0.9945594628661991,24
2019-02-14,23.875,2.2,1.9166666666666667,3.7,7.5,175.26084011178142,0.08261966018135927,-0.9965811516136137,24
2019-02-15,22.3625,0.2,2.0208333333333335,3.6,8.3,293.9981623717443,-0.9135585023002191,0.4067073430305636,24
2019-02-16,21.791666666666668,9.2,2.7458333333333336,4.4,13.1,317.7552211702641,-0.6722993510730378,0.7402793949224657,24
2019-02-17,19.804166666666667,2.6,3.4458333333333333,5.0,10.2,324.1654510505767,-0.5854466343530991,0.8107109462222826,24
2019-02-18,19.395833333333332,13.0,2.9416666666666664,4.8,11.1,333.06719490509647,-0.45294523996957314,0.8915383388216717,24
2019-02-19,20.808333333333334,4.4,1.9000000000000001,3.7,9.0,319.6410925623473,-0.6475735587577719,0.7620029435624214,24
2019-02-20,22.195833333333336,0.0,1.9666666666666668,4.2,10.8,321.82460173451534,-0.6180709061304398,0.7861223537052594,24
2019-02-21,21.78333333333333,0.0,1.7833333333333332,3.9,9.0,356.819298297057,-0.055485208189434955,0.9984595092802586,24
